                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
130,0.57494,0.40365,0.9894,0.98228,0.96646,0.98958,0.91475,0.35301,0.17863,0.79903,0.0005743,0.0005743,0.0005743
131,0.57692,0.4048,0.99371,0.9826,0.96692,0.98962,0.91514,0.35259,0.17848,0.79897,0.000571,0.000571,0.000571
132,0.57729,0.40064,0.98949,0.98302,0.96677,0.9897,0.91537,0.35221,0.17819,0.79885,0.0005677,0.0005677,0.0005677
133,0.57525,0.40136,0.98849,0.98261,0.96739,0.98969,0.91555,0.35174,0.17807,0.79863,0.0005644,0.0005644,0.0005644
134,0.5733,0.4005,0.98594,0.98116,0.96845,0.9898,0.91576,0.35143,0.17775,0.79844,0.0005611,0.0005611,0.0005611
135,0.56884,0.3945,0.98454,0.98083,0.96911,0.98979,0.91588,0.35111,0.17721,0.79816,0.0005578,0.0005578,0.0005578
136,0.57079,0.39831,0.98527,0.98148,0.96843,0.98975,0.91609,0.35075,0.17694,0.79784,0.0005545,0.0005545,0.0005545
137,0.56958,0.39729,0.9857,0.98238,0.96755,0.98982,0.91645,0.3503,0.17645,0.79755,0.0005512,0.0005512,0.0005512
138,0.57002,0.39679,0.98364,0.98173,0.96852,0.98988,0.91706,0.34993,0.17618,0.79722,0.0005479,0.0005479,0.0005479
139,0.56871,0.39368,0.98367,0.9826,0.96853,0.98994,0.91731,0.34971,0.1761,0.79705,0.0005446,0.0005446,0.0005446
140,0.56797,0.39525,0.98295,0.98315,0.9683,0.98997,0.9173,0.34922,0.17549,0.79679,0.0005413,0.0005413,0.0005413
141,0.56811,0.39259,0.98359,0.98217,0.96875,0.98997,0.91739,0.34872,0.17545,0.79658,0.000538,0.000538,0.000538
142,0.56626,0.39235,0.98645,0.98189,0.96963,0.98999,0.91774,0.34825,0.17526,0.79642,0.0005347,0.0005347,0.0005347
143,0.56519,0.39298,0.98578,0.98149,0.97015,0.99002,0.91758,0.34779,0.17472,0.79625,0.0005314,0.0005314,0.0005314
144,0.56575,0.39091,0.98278,0.98144,0.9708,0.99,0.91792,0.3471,0.17454,0.79599,0.0005281,0.0005281,0.0005281
145,0.56535,0.39065,0.98272,0.98183,0.97031,0.99,0.91841,0.34657,0.17386,0.7958,0.0005248,0.0005248,0.0005248
146,0.56242,0.3848,0.98168,0.98255,0.9682,0.99006,0.91851,0.34629,0.17352,0.79569,0.0005215,0.0005215,0.0005215
147,0.5612,0.38735,0.98113,0.98342,0.96841,0.99019,0.91892,0.34586,0.1733,0.79558,0.0005182,0.0005182,0.0005182
148,0.5632,0.38816,0.9824,0.98367,0.96875,0.99021,0.91923,0.34539,0.17286,0.79535,0.0005149,0.0005149,0.0005149
149,0.56149,0.38779,0.9852,0.98386,0.96867,0.99024,0.91952,0.34519,0.17274,0.79522,0.0005116,0.0005116,0.0005116
150,0.56193,0.39011,0.98492,0.98342,0.96912,0.99028,0.91971,0.34488,0.1725,0.79524,0.0005083,0.0005083,0.0005083
151,0.56146,0.3873,0.98119,0.9835,0.9693,0.99037,0.91991,0.3444,0.17267,0.79522,0.000505,0.000505,0.000505
152,0.55989,0.38718,0.98163,0.98344,0.96946,0.99044,0.91989,0.34412,0.17249,0.79511,0.0005017,0.0005017,0.0005017
153,0.55949,0.38629,0.98399,0.98284,0.97036,0.9905,0.92021,0.34382,0.17201,0.7951,0.0004984,0.0004984,0.0004984
154,0.56002,0.38492,0.98109,0.98234,0.97057,0.99051,0.92027,0.34347,0.17177,0.79487,0.0004951,0.0004951,0.0004951
155,0.55881,0.38233,0.97914,0.9822,0.97163,0.99058,0.92047,0.3433,0.17147,0.79467,0.0004918,0.0004918,0.0004918
156,0.55759,0.38439,0.9804,0.98235,0.97148,0.99069,0.92062,0.34311,0.1711,0.79446,0.0004885,0.0004885,0.0004885
157,0.55497,0.38202,0.97896,0.98291,0.97124,0.99071,0.9209,0.34278,0.17094,0.79415,0.0004852,0.0004852,0.0004852
158,0.55629,0.38105,0.97587,0.98287,0.9712,0.99067,0.92086,0.34261,0.17099,0.79389,0.0004819,0.0004819,0.0004819
159,0.55538,0.37972,0.97694,0.9832,0.97087,0.99068,0.92116,0.34238,0.17077,0.79368,0.0004786,0.0004786,0.0004786
160,0.55189,0.37842,0.97487,0.98355,0.97104,0.99072,0.92141,0.34202,0.17047,0.79335,0.0004753,0.0004753,0.0004753
161,0.54662,0.37705,0.97157,0.98381,0.97112,0.99072,0.92168,0.34151,0.17032,0.79291,0.000472,0.000472,0.000472
162,0.5524,0.37575,0.97306,0.98469,0.97085,0.99079,0.92159,0.34128,0.16996,0.7926,0.0004687,0.0004687,0.0004687
163,0.55298,0.38066,0.97646,0.98482,0.97121,0.99084,0.92189,0.34098,0.1699,0.79242,0.0004654,0.0004654,0.0004654
164,0.55294,0.37676,0.97705,0.98518,0.97132,0.99086,0.92212,0.34078,0.16972,0.79227,0.0004621,0.0004621,0.0004621
165,0.55275,0.37698,0.97611,0.98519,0.9708,0.99098,0.92243,0.34036,0.16931,0.79212,0.0004588,0.0004588,0.0004588
166,0.55158,0.37387,0.97305,0.98537,0.97046,0.99101,0.92261,0.34004,0.16926,0.7919,0.0004555,0.0004555,0.0004555
167,0.54907,0.37327,0.9707,0.98662,0.97008,0.99106,0.92292,0.33991,0.16913,0.7918,0.0004522,0.0004522,0.0004522
168,0.54829,0.37074,0.97182,0.98525,0.9716,0.99106,0.9232,0.33956,0.16903,0.79159,0.0004489,0.0004489,0.0004489
169,0.5485,0.37237,0.97334,0.98529,0.97158,0.99095,0.92324,0.33924,0.1687,0.79146,0.0004456,0.0004456,0.0004456
170,0.54767,0.37298,0.97103,0.98565,0.97131,0.99093,0.9232,0.33888,0.16842,0.79115,0.0004423,0.0004423,0.0004423
171,0.54679,0.371,0.97083,0.98617,0.97099,0.991,0.92342,0.33879,0.16822,0.79108,0.000439,0.000439,0.000439
172,0.54755,0.37194,0.9718,0.98632,0.97085,0.99106,0.92369,0.33827,0.16804,0.79097,0.0004357,0.0004357,0.0004357
173,0.54372,0.37218,0.97115,0.98626,0.97103,0.99101,0.92384,0.3379,0.16791,0.79064,0.0004324,0.0004324,0.0004324
174,0.5466,0.37231,0.97179,0.98652,0.97207,0.99123,0.92392,0.33783,0.16757,0.7906,0.0004291,0.0004291,0.0004291
175,0.54379,0.36765,0.97052,0.9867,0.97204,0.99129,0.92398,0.33747,0.16735,0.79041,0.0004258,0.0004258,0.0004258
176,0.54506,0.37049,0.9701,0.98697,0.97242,0.99134,0.92416,0.3371,0.16722,0.7902,0.0004225,0.0004225,0.0004225
177,0.54188,0.36778,0.96853,0.98749,0.97197,0.99137,0.92443,0.33673,0.1671,0.78998,0.0004192,0.0004192,0.0004192
178,0.54468,0.36984,0.9708,0.98741,0.9726,0.99133,0.92449,0.33618,0.16674,0.78984,0.0004159,0.0004159,0.0004159
179,0.54362,0.36901,0.96981,0.98794,0.97241,0.99128,0.92439,0.33589,0.16654,0.78978,0.0004126,0.0004126,0.0004126
180,0.54061,0.36404,0.96605,0.98783,0.97291,0.99142,0.92477,0.33547,0.16603,0.78946,0.0004093,0.0004093,0.0004093
181,0.54313,0.36802,0.97087,0.98881,0.97224,0.99146,0.92482,0.33534,0.1662,0.78933,0.000406,0.000406,0.000406
182,0.53815,0.36415,0.96682,0.98887,0.97192,0.99141,0.92489,0.33494,0.1659,0.78924,0.0004027,0.0004027,0.0004027
183,0.5381,0.36181,0.96971,0.98885,0.97188,0.99142,0.92522,0.33476,0.16584,0.78915,0.0003994,0.0003994,0.0003994
184,0.53839,0.36294,0.96588,0.98864,0.97176,0.99143,0.92526,0.33455,0.16556,0.78903,0.0003961,0.0003961,0.0003961
185,0.54077,0.36197,0.96803,0.98805,0.97245,0.99156,0.92531,0.33422,0.16528,0.78896,0.0003928,0.0003928,0.0003928
