                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.63926,                 0.4776,                 1.0123,                0.96303,                0.94215,                0.97874,                0.88451,                0.40709,                0.22958,                0.82394,              0.0003862,              0.0003862,              0.0003862
                     64,                0.63325,                0.47239,                 1.0089,                0.96097,                0.94463,                0.97894,                0.88495,                0.40641,                0.22887,                0.82345,              0.0003763,              0.0003763,              0.0003763
                     65,                0.63179,                0.46925,                 1.0083,                0.96421,                0.94245,                0.97931,                0.88567,                0.40545,                0.22828,                0.82284,              0.0003664,              0.0003664,              0.0003664
                     66,                0.63311,                0.46703,                 1.0087,                 0.9651,                0.94308,                0.97946,                0.88629,                0.40443,                0.22741,                0.82215,              0.0003565,              0.0003565,              0.0003565
                     67,                0.62802,                0.46594,                 1.0048,                0.96522,                0.94419,                0.97975,                0.88725,                0.40336,                0.22646,                0.82153,              0.0003466,              0.0003466,              0.0003466
                     68,                0.62837,                0.46528,                 1.0057,                0.96492,                0.94475,                 0.9798,                0.88771,                0.40256,                0.22541,                 0.8209,              0.0003367,              0.0003367,              0.0003367
                     69,                0.62412,                0.46049,                  1.001,                0.96737,                0.94331,                0.97991,                0.88819,                0.40161,                0.22466,                0.82024,              0.0003268,              0.0003268,              0.0003268
                     70,                0.62108,                0.45565,                 1.0004,                0.96776,                0.94361,                0.98013,                0.88863,                0.40082,                0.22369,                0.81973,              0.0003169,              0.0003169,              0.0003169
                     71,                0.62126,                0.45808,                 1.0028,                0.96976,                0.94183,                0.98037,                0.88944,                0.40012,                0.22301,                0.81939,               0.000307,               0.000307,               0.000307
                     72,                0.61789,                0.45158,                 1.0002,                0.97033,                 0.9418,                0.98052,                 0.8899,                0.39945,                0.22226,                0.81903,              0.0002971,              0.0002971,              0.0002971
                     73,                0.61756,                0.45098,                0.99909,                0.96974,                0.94266,                0.98084,                0.89033,                 0.3985,                0.22169,                0.81864,              0.0002872,              0.0002872,              0.0002872
                     74,                0.61554,                0.44994,                0.99939,                0.97018,                0.94406,                0.98114,                0.89089,                0.39774,                0.22082,                0.81817,              0.0002773,              0.0002773,              0.0002773
                     75,                0.61117,                0.44528,                0.99558,                0.96935,                0.94558,                0.98132,                0.89137,                0.39727,                0.22006,                0.81779,              0.0002674,              0.0002674,              0.0002674
                     76,                0.60997,                0.44394,                0.99579,                0.96915,                0.94604,                0.98144,                 0.8918,                0.39668,                0.21925,                0.81744,              0.0002575,              0.0002575,              0.0002575
                     77,                0.60797,                 0.4413,                0.99359,                0.96943,                0.94643,                0.98164,                0.89203,                0.39607,                0.21891,                0.81715,              0.0002476,              0.0002476,              0.0002476
                     78,                0.61045,                0.44121,                0.99515,                0.96843,                0.94845,                0.98185,                0.89253,                0.39567,                0.21842,                0.81686,              0.0002377,              0.0002377,              0.0002377
                     79,                0.60717,                0.44159,                0.99256,                0.96812,                0.94977,                0.98187,                0.89286,                0.39532,                 0.2179,                 0.8165,              0.0002278,              0.0002278,              0.0002278
                     80,                0.60418,                0.43665,                0.99321,                0.96866,                0.94982,                0.98206,                0.89332,                0.39487,                0.21723,                 0.8162,              0.0002179,              0.0002179,              0.0002179
                     81,                0.60247,                0.43393,                0.99099,                0.96908,                0.94985,                0.98219,                0.89377,                0.39417,                0.21655,                0.81578,               0.000208,               0.000208,               0.000208
                     82,                0.59871,                0.43086,                0.98959,                0.96993,                0.94942,                0.98241,                  0.894,                0.39352,                0.21592,                0.81542,              0.0001981,              0.0001981,              0.0001981
                     83,                0.59969,                0.43206,                0.98942,                0.97024,                0.95105,                0.98263,                0.89445,                0.39279,                0.21531,                  0.815,              0.0001882,              0.0001882,              0.0001882
                     84,                0.59758,                0.42923,                0.99122,                0.97279,                0.94903,                0.98276,                0.89502,                0.39241,                0.21463,                 0.8146,              0.0001783,              0.0001783,              0.0001783
                     85,                0.59802,                0.42739,                0.98846,                0.97247,                0.95037,                0.98291,                0.89532,                0.39189,                0.21431,                0.81431,              0.0001684,              0.0001684,              0.0001684
                     86,                0.59125,                0.42357,                0.98609,                0.97316,                0.95033,                0.98296,                0.89561,                0.39151,                0.21394,                0.81404,              0.0001585,              0.0001585,              0.0001585
                     87,                0.59301,                0.42261,                0.98575,                0.97105,                0.95212,                0.98311,                0.89576,                0.39105,                 0.2137,                0.81379,              0.0001486,              0.0001486,              0.0001486
                     88,                0.58996,                0.41926,                0.98529,                0.97102,                0.95238,                0.98316,                0.89591,                0.39066,                0.21338,                0.81347,              0.0001387,              0.0001387,              0.0001387
                     89,                0.58761,                0.41706,                0.98267,                0.97205,                0.95222,                0.98331,                0.89631,                0.39025,                0.21303,                0.81311,              0.0001288,              0.0001288,              0.0001288
                     90,                0.47439,                0.27347,                0.90261,                0.97347,                0.95112,                0.98357,                0.89653,                 0.3895,                0.21242,                0.81271,              0.0001189,              0.0001189,              0.0001189
                     91,                 0.4681,                0.26938,                 0.8988,                0.97159,                0.95396,                0.98386,                0.89707,                0.38873,                0.21212,                0.81247,               0.000109,               0.000109,               0.000109
                     92,                0.46449,                 0.2667,                0.89635,                0.97231,                0.95378,                0.98405,                0.89745,                0.38822,                0.21166,                0.81219,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.46147,                0.26184,                0.89491,                0.97262,                0.95377,                0.98413,                0.89752,                0.38781,                0.21099,                0.81195,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.46027,                0.26227,                0.89457,                0.97346,                0.95294,                 0.9843,                0.89774,                0.38728,                0.21055,                 0.8117,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.45985,                0.26034,                0.89262,                0.97414,                0.95274,                0.98436,                0.89808,                0.38675,                0.21015,                0.81136,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.45554,                0.25789,                0.89144,                0.97517,                0.95199,                0.98447,                0.89851,                0.38611,                0.20962,                  0.811,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.45499,                0.25501,                0.89213,                0.97349,                0.95448,                 0.9846,                0.89884,                0.38548,                0.20927,                0.81066,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.45407,                0.25497,                0.88871,                0.97457,                0.95352,                0.98463,                0.89907,                0.38501,                0.20896,                 0.8103,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.45133,                0.25277,                0.88848,                0.97364,                0.95463,                0.98465,                0.89922,                0.38445,                0.20856,                0.80997,               2.98e-05,               2.98e-05,               2.98e-05
